created_at,utm_source,utm_medium,extra_leads,tag
2024-11-27 17:17:00,telegram,bot-send,{17089011},demo-da
2024-11-27 18:55:00,telegram,bot-send,{16003203},Кейс-АЦ
2024-11-29 08:48:00,unisender,email,{15930477},web-0412
2024-11-29 08:53:00,unisender,email,{16016135},web-0412
2024-11-29 08:56:00,unisender,email,"{11787181,12343743,25212617}",web-0412
2024-11-29 09:03:00,telegram,social,{15924251},web-0412
2024-11-29 09:08:00,telegram,bot-send,{11989079},web-0412
2024-11-29 09:09:00,telegram,social,{15873001},web-0412
2024-11-29 09:09:00,telegram,bot-send,{15538843},web-0412
2024-12-13 09:00:00,telegram,social,"{15950709,16529323,16770067}",web-1712
2024-12-13 09:04:00,telegram,social,"{17147699,17428973,17428975,18451713}",web-1712
2024-12-14 10:56:00,unisender,email,"{9347081,17154923}",web-1712
2024-12-17 17:51:00,unisender,email,{15932451},web-1712
2024-12-19 18:31:00,telegram,social,"{16785101,17610155}",abc-portfolio
2024-12-24 09:28:00,telegram,bot-send,"{16003159,18616975}",web-1712
2024-12-24 09:30:00,telegram,bot-send,{15922837},web-2412
2024-12-24 09:33:00,telegram,bot-send,{2199985},web-2412
2024-12-24 10:58:00,telegram,bot-send,{16528793},web-2412
2024-12-24 11:11:00,telegram,bot-send,"{5983741,16765093}",web-2412
2024-12-24 11:21:00,unisender,email,"{16762011,16816349}",web-2412
2024-12-24 11:21:00,telegram,bot-send,"{15921793,15927163,17122529}",web-2412
2024-12-24 12:08:00,telegram,bot-send,{7366116},web-2412
2024-12-24 12:58:00,unisender,email,{16816361},web-2412
2024-12-24 12:59:00,telegram,bot-send,"{16056423,16769383}",web-2412
2024-12-24 13:16:00,telegram,bot-send,"{16743379,19453462,21000955}",web-2412
2024-12-24 14:09:00,vkontakte,social,{16816881},web-2412
2024-12-24 14:27:00,telegram,social,{11989079},web-2412
2024-12-24 14:55:00,telegram,social,"{16084991,16977925,18659265}",web-2412
2024-12-24 15:04:00,telegram,paid-placement,{16257629},web-2412
2024-12-24 15:13:00,telegram,bot-send,"{16552793,17148487}",web-2412
2024-12-24 15:14:00,unisender,email,{16037581},web-2412
2024-12-24 15:49:00,telegram,bot-send,{16292997},web-2412
2024-12-24 15:51:00,telegram,bot-send,"{15921749,16695207,16773339}",web-2412
2024-12-24 15:53:00,unisender,email,"{15667785,18847199,19503222}",web-2412
2024-12-24 15:57:00,telegram,bot-send,"{15928337,19015561,19024235}",web-2412
2024-12-24 15:58:00,unisender,email,{5807709},web-2412
2024-12-24 15:58:00,telegram,social,{11989079},web-2412
2024-12-24 15:58:00,telegram,bot-send,{17160145},web-2412
2024-12-24 16:03:00,telegram,social,"{16765779,18914999}",web-2412
2024-12-24 16:04:00,telegram,social,"{9164281,17166441}",web-2412
2024-12-24 16:04:00,telegram,social,"{9164281,17166441}",web-2412
2024-12-24 16:04:00,telegram,bot-send,"{16743379,19453462,21000955}",web-2412
2024-12-24 16:04:00,telegram,social,"{16084991,16977925,18659265}",web-2412
2024-12-24 16:05:00,telegram,paid-placement,"{7710743,14717267}",web-2412
2024-12-24 16:05:00,telegram,social,"{15950709,16529323,16770067}",web-2412
2025-01-10 11:37:00,telegram,bot-send,{16003203},web-2412
2025-01-16 07:03:00,telegram,bot-send,"{9349901,18448353}",Ads-metrics
2025-01-24 08:03:00,unisender,email,{5804161},web-2801
2025-01-24 08:13:00,telegram,bot-send,"{16864161,18675121}",web-2801
2023-12-20 12:46:00,telegram,,{16857289},Pandas-v1
2023-12-20 12:58:00,bot,testovoe-bank-otkrytie,"{11792445,16764207}",Pandas-v1
2023-12-20 13:12:00,bot,free-course-pandas,"{16163271,16222289}",Pandas-pre
2023-12-20 13:13:00,bot,free-course-pandas,"{16163271,16222289}",Pandas-v1
2023-12-20 13:20:00,bot,free-course-pandas,"{11014471,18361379}",Pandas-v1
2023-12-20 13:49:00,bot,events-simulative,"{16066779,16770183}",Pandas-pre
2023-12-20 14:07:00,bot,events-simulative,{16529035},Pandas-pre
2023-12-20 14:07:00,bot,events-simulative,{16529035},Pandas-v1
2023-12-20 14:18:00,bot,events-simulative,{16764267},Pandas-v1
2023-12-20 14:18:00,bot,events-simulative,{16764267},Pandas-pre
2023-12-20 15:54:00,bot,free-course-pandas,"{16336117,16778411,17631349,18418999}",Pandas-v1
2023-12-20 15:54:00,bot,free-course-pandas,"{16336117,16778411,17631349,18418999}",Pandas-v1
